CGPA,Internships,Projects,Certifications,Aptitude,Chances,PlacementStatus,Improvement
5.8,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.86,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.0,0,1,0,50,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.74,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.86,1,2,1,71,High,Placed,Maintain consistency
6.12,1,2,1,72,High,Placed,Maintain consistency
6.91,1,2,1,65,High,Placed,Maintain consistency
7.34,1,2,1,69,High,Placed,Maintain consistency
6.82,1,2,1,68,High,Placed,Maintain consistency
7.28,1,2,1,72,High,Placed,Maintain consistency
6.57,1,2,1,68,High,Placed,Maintain consistency
7.73,1,2,1,78,High,Placed,Maintain consistency
7.5,1,2,1,76,High,Placed,Maintain consistency
6.86,1,2,1,71,High,Placed,Maintain consistency
6.53,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.59,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.3,0,1,0,91,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.51,0,1,0,81,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.49,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.64,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.31,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.59,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.06,0,1,0,89,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.28,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.27,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.55,3,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.48,2,1,0,75,High,Placed,"Improve projects, Gain certifications"
7.09,3,1,0,75,High,Placed,"Improve projects, Gain certifications"
6.37,3,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.24,2,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.11,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.25,3,1,0,69,High,Placed,"Improve projects, Gain certifications"
6.46,2,1,0,62,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.2,3,1,0,61,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
8.89,2,3,2,82,High,Placed,Maintain consistency
9.49,2,4,2,88,High,Placed,Maintain consistency
8.96,2,4,3,84,High,Placed,Maintain consistency
8.25,3,4,3,82,High,Placed,Maintain consistency
8.19,3,3,2,95,High,Placed,Maintain consistency
9.42,2,4,2,92,High,Placed,Maintain consistency
8.92,2,4,3,96,High,Placed,Maintain consistency
9.15,3,3,3,96,High,Placed,Maintain consistency
8.58,3,4,2,82,High,Placed,Maintain consistency
9.96,2,3,2,85,High,Placed,Maintain consistency
8.05,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.95,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.28,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.18,0,1,0,61,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.23,0,1,0,70,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.34,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.85,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.94,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.11,0,1,0,53,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.3,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.77,3,4,2,90,High,Placed,Improve CGPA
5.94,3,4,3,74,High,Placed,Improve CGPA
5.83,3,3,3,83,High,Placed,Improve CGPA
5.85,2,4,3,93,High,Placed,Improve CGPA
6.28,2,3,3,84,High,Placed,Improve CGPA
5.6,2,3,2,76,High,Placed,Improve CGPA
5.92,2,4,3,81,High,Placed,Improve CGPA
5.77,3,3,2,77,High,Placed,Improve CGPA
6.0,3,3,3,82,High,Placed,Improve CGPA
6.25,2,4,3,77,High,Placed,Improve CGPA
5.14,0,1,0,51,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.11,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.75,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.3,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.77,0,1,0,45,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.21,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.9,0,1,0,51,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.76,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.59,0,1,0,51,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.72,0,1,0,59,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.24,1,2,1,67,High,Placed,Maintain consistency
6.27,1,2,1,72,High,Placed,Maintain consistency
6.86,1,2,1,68,High,Placed,Maintain consistency
7.42,1,2,1,67,High,Placed,Maintain consistency
7.2,1,2,1,70,High,Placed,Maintain consistency
7.29,1,2,1,69,High,Placed,Maintain consistency
6.83,1,2,1,73,High,Placed,Maintain consistency
7.23,1,2,1,76,High,Placed,Maintain consistency
7.19,1,2,1,70,High,Placed,Maintain consistency
6.33,1,2,1,65,High,Placed,Maintain consistency
6.21,0,1,0,97,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.55,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.2,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.62,0,1,0,83,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.54,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.03,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.46,0,1,0,88,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.7,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.75,0,1,0,93,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.33,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.22,2,1,0,72,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.34,3,1,0,70,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
7.21,2,1,0,75,High,Placed,"Improve projects, Gain certifications"
6.95,3,1,0,75,High,Placed,"Improve projects, Gain certifications"
6.48,3,1,0,59,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.16,2,1,0,68,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.03,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.85,3,1,0,62,High,Placed,"Improve projects, Gain certifications"
6.15,2,1,0,58,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.6,3,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.13,2,3,2,86,High,Placed,Maintain consistency
9.17,2,4,2,93,High,Placed,Maintain consistency
9.23,2,4,3,86,High,Placed,Maintain consistency
8.72,3,4,3,83,High,Placed,Maintain consistency
8.62,3,3,2,90,High,Placed,Maintain consistency
8.99,2,4,2,94,High,Placed,Maintain consistency
9.03,2,4,3,97,High,Placed,Maintain consistency
8.75,3,3,3,100,High,Placed,Maintain consistency
8.99,3,4,2,79,High,Placed,Maintain consistency
9.74,2,3,2,81,High,Placed,Maintain consistency
8.05,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.7,0,1,0,52,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.47,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.22,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.35,0,1,0,68,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.34,0,1,0,64,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
9.0,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.0,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.17,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.98,0,1,0,63,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.8,3,4,2,94,High,Placed,Improve CGPA
6.32,3,4,3,73,High,Placed,Improve CGPA
6.15,3,3,3,89,High,Placed,Improve CGPA
5.44,2,4,3,91,High,Placed,Improve CGPA
6.03,2,3,3,89,High,Placed,Improve CGPA
5.85,2,3,2,85,High,Placed,Improve CGPA
5.91,2,4,3,84,High,Placed,Improve CGPA
5.84,3,3,2,79,High,Placed,Improve CGPA
6.12,3,3,3,86,High,Placed,Improve CGPA
6.42,2,4,3,79,High,Placed,Improve CGPA
5.29,0,1,0,53,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.21,0,1,0,52,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.69,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.55,0,1,0,50,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.47,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.06,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.89,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.46,0,1,0,55,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.51,0,1,0,53,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.34,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.57,1,2,1,66,High,Placed,Maintain consistency
6.44,1,2,1,70,High,Placed,Maintain consistency
7.27,1,2,1,66,High,Placed,Maintain consistency
7.45,1,2,1,66,High,Placed,Maintain consistency
7.31,1,2,1,72,High,Placed,Maintain consistency
7.14,1,2,1,73,High,Placed,Maintain consistency
6.84,1,2,1,67,High,Placed,Maintain consistency
7.56,1,2,1,70,High,Placed,Maintain consistency
7.33,1,2,1,76,High,Placed,Maintain consistency
6.82,1,2,1,69,High,Placed,Maintain consistency
6.29,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.1,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.86,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.34,0,1,0,89,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.64,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.79,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.68,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.56,0,1,0,99,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.84,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.13,0,1,0,98,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.07,2,1,0,67,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.14,3,1,0,67,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.5,2,1,0,70,High,Placed,"Improve projects, Gain certifications"
6.82,3,1,0,74,High,Placed,"Improve projects, Gain certifications"
6.24,3,1,0,59,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.35,2,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.35,2,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.3,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
6.48,2,1,0,62,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.2,3,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
8.98,2,3,2,84,High,Placed,Maintain consistency
9.41,2,4,2,92,High,Placed,Maintain consistency
8.88,2,4,3,86,High,Placed,Maintain consistency
8.61,3,4,3,80,High,Placed,Maintain consistency
8.53,3,3,2,86,High,Placed,Maintain consistency
9.4,2,4,2,100,High,Placed,Maintain consistency
9.24,2,4,3,97,High,Placed,Maintain consistency
9.29,3,3,3,100,High,Placed,Maintain consistency
8.87,3,4,2,86,High,Placed,Maintain consistency
9.51,2,3,2,86,High,Placed,Maintain consistency
7.89,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.86,0,1,0,52,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.26,0,1,0,67,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.34,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.52,0,1,0,68,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.01,0,1,0,70,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.66,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.0,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.07,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.44,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.75,3,4,2,89,High,Placed,Improve CGPA
5.98,3,4,3,75,High,Placed,Improve CGPA
6.41,3,3,3,84,High,Placed,Improve CGPA
6.06,2,4,3,85,High,Placed,Improve CGPA
6.13,2,3,3,85,High,Placed,Improve CGPA
5.56,2,3,2,77,High,Placed,Improve CGPA
5.98,2,4,3,81,High,Placed,Improve CGPA
5.77,3,3,2,74,High,Placed,Improve CGPA
6.24,3,3,3,81,High,Placed,Improve CGPA
6.81,2,4,3,71,High,Placed,Improve CGPA
5.06,0,1,0,54,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.15,0,1,0,50,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.39,0,1,0,55,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.49,0,1,0,56,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.55,0,1,0,43,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.48,0,1,0,60,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.75,0,1,0,45,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.6,0,1,0,63,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.26,0,1,0,54,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.76,0,1,0,55,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.12,1,2,1,63,High,Placed,Maintain consistency
6.42,1,2,1,69,High,Placed,Maintain consistency
6.88,1,2,1,66,High,Placed,Maintain consistency
7.62,1,2,1,73,High,Placed,Maintain consistency
7.24,1,2,1,68,High,Placed,Maintain consistency
7.81,1,2,1,75,High,Placed,Maintain consistency
6.91,1,2,1,72,High,Placed,Maintain consistency
7.31,1,2,1,75,High,Placed,Maintain consistency
7.43,1,2,1,77,High,Placed,Maintain consistency
6.83,1,2,1,66,High,Placed,Maintain consistency
6.55,0,1,0,91,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.92,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.61,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.64,0,1,0,80,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.01,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.63,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.33,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.69,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.16,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.03,0,1,0,90,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.41,2,1,0,70,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.24,3,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.71,2,1,0,68,High,Placed,"Improve projects, Gain certifications"
7.23,3,1,0,67,High,Placed,"Improve projects, Gain certifications"
6.29,3,1,0,58,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.31,2,1,0,71,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
5.77,2,1,0,65,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.65,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
6.41,2,1,0,55,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.67,3,1,0,62,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
8.93,2,3,2,91,High,Placed,Maintain consistency
9.32,2,4,2,89,High,Placed,Maintain consistency
9.15,2,4,3,78,High,Placed,Maintain consistency
8.85,3,4,3,81,High,Placed,Maintain consistency
8.48,3,3,2,92,High,Placed,Maintain consistency
9.36,2,4,2,97,High,Placed,Maintain consistency
9.3,2,4,3,95,High,Placed,Maintain consistency
8.84,3,3,3,93,High,Placed,Maintain consistency
8.91,3,4,2,79,High,Placed,Maintain consistency
9.66,2,3,2,89,High,Placed,Maintain consistency
8.22,0,1,0,67,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.76,0,1,0,51,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.42,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.96,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.48,0,1,0,67,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
7.82,0,1,0,70,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.72,0,1,0,61,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.99,0,1,0,56,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.49,0,1,0,56,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.3,0,1,0,61,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.6,3,4,2,87,High,Placed,Improve CGPA
6.66,3,4,3,82,High,Placed,Improve CGPA
5.81,3,3,3,91,High,Placed,Improve CGPA
5.26,2,4,3,86,High,Placed,Improve CGPA
6.34,2,3,3,82,High,Placed,Improve CGPA
5.54,2,3,2,82,High,Placed,Improve CGPA
5.72,2,4,3,85,High,Placed,Improve CGPA
5.84,3,3,2,72,High,Placed,Improve CGPA
6.16,3,3,3,78,High,Placed,Improve CGPA
6.3,2,4,3,75,High,Placed,Improve CGPA
5.0,0,1,0,55,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.48,0,1,0,50,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.8,0,1,0,55,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.62,0,1,0,50,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.93,0,1,0,42,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.0,0,1,0,57,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.54,0,1,0,49,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.42,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.25,0,1,0,51,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.57,0,1,0,62,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.56,1,2,1,66,High,Placed,Maintain consistency
6.6,1,2,1,70,High,Placed,Maintain consistency
6.73,1,2,1,72,High,Placed,Maintain consistency
7.7,1,2,1,74,High,Placed,Maintain consistency
7.08,1,2,1,65,High,Placed,Maintain consistency
7.66,1,2,1,70,High,Placed,Maintain consistency
6.86,1,2,1,69,High,Placed,Maintain consistency
7.47,1,2,1,70,High,Placed,Maintain consistency
7.42,1,2,1,71,High,Placed,Maintain consistency
6.7,1,2,1,64,High,Placed,Maintain consistency
6.52,0,1,0,94,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.09,0,1,0,95,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.44,0,1,0,87,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.55,0,1,0,89,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.71,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.79,0,1,0,100,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.22,0,1,0,91,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.02,0,1,0,97,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.91,0,1,0,92,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
5.9,0,1,0,96,High,Placed,"Improve CGPA, Focus on internships, Improve projects, Gain certifications"
6.37,2,1,0,69,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.18,3,1,0,66,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
6.87,2,1,0,73,High,Placed,"Improve projects, Gain certifications"
6.84,3,1,0,66,High,Placed,"Improve projects, Gain certifications"
6.16,3,1,0,64,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
5.92,2,1,0,63,High,Placed,"Improve CGPA, Improve projects, Gain certifications"
5.95,2,1,0,61,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.02,3,1,0,69,High,Placed,"Improve projects, Gain certifications"
5.96,2,1,0,57,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
6.39,3,1,0,60,High,Placed,"Improve CGPA, Improve projects, Gain certifications, Focus on aptitude"
9.15,2,3,2,91,High,Placed,Maintain consistency
9.37,2,4,2,89,High,Placed,Maintain consistency
8.91,2,4,3,85,High,Placed,Maintain consistency
8.52,3,4,3,85,High,Placed,Maintain consistency
8.5,3,3,2,93,High,Placed,Maintain consistency
9.07,2,4,2,98,High,Placed,Maintain consistency
9.48,2,4,3,96,High,Placed,Maintain consistency
8.98,3,3,3,97,High,Placed,Maintain consistency
8.96,3,4,2,78,High,Placed,Maintain consistency
9.63,2,3,2,90,High,Placed,Maintain consistency
8.05,0,1,0,67,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.56,0,1,0,55,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.34,0,1,0,65,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
7.96,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.04,0,1,0,62,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
8.06,0,1,0,68,Medium,Placed,"Focus on internships, Improve projects, Gain certifications"
9.19,0,1,0,57,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
9.04,0,1,0,59,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.07,0,1,0,60,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
8.42,0,1,0,58,Medium,Placed,"Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.99,3,4,2,87,High,Placed,Improve CGPA
6.46,3,4,3,80,High,Placed,Improve CGPA
6.11,3,3,3,90,High,Placed,Improve CGPA
5.57,2,4,3,87,High,Placed,Improve CGPA
6.39,2,3,3,84,High,Placed,Improve CGPA
5.72,2,3,2,80,High,Placed,Improve CGPA
6.1,2,4,3,82,High,Placed,Improve CGPA
5.83,3,3,2,74,High,Placed,Improve CGPA
6.32,3,3,3,85,High,Placed,Improve CGPA
6.3,2,4,3,71,High,Placed,Improve CGPA
5.36,0,1,0,47,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.35,0,1,0,48,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
6.09,0,1,0,54,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.5,0,1,0,58,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.91,0,1,0,43,Low,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
5.16,0,1,0,61,Medium,Unplaced,"Improve CGPA, Focus on internships, Improve projects, Gain certifications, Focus on aptitude"
